FID;id;nom_comm;insee_comm;superficie;population;insee_dep;nom_comm_1;nouvelles;EPCI;INSEE_ID
396;BDCSURCO0000000009599298;Vivy;49378;2349;2555;49; ; ;Communauté d'Agglomération Saumur Val de Loire;49378
397;BDCSURCO0000000009600614;Yzernay;49381;4130;1845;49; ; ;Agglomération du Choletais;49381
398;BDCSURCO0000000009595527;Ahuillé;53001;3056;1827;53; ; ;Laval Agglomération;53001
399;BDCSURCO0000000009594215;Alexain;53002;1642;610;53; ; ;Mayenne Communauté;53002
400;BDCSURCO0000000009593014;Ambrières-les-Vallées;53003;3839;2768;53; ; ;Communauté de communes du Bocage Mayennais;53003
401;BDCSURCO0000000009596532;Ampoigné;53004;2128;563;53; ; ;Communauté de communes du Pays de Château-Gontier;53004
402;BDCSURCO0000000009594578;Andouillé;53005;3700;2264;53; ; ;Communauté de communes de l'Ernée;53005
403;BDCSURCO0000000009596527;Argenton-Notre-Dame;53006;684;216;53; ; ;Communauté de communes du Pays de Château-Gontier;53006
404;BDCSURCO0000000009594913;Argentré;53007;3710;2742;53; ; ;Laval Agglomération;53007
405;BDCSURCO0000000009593833;Aron;53008;3280;1756;53; ; ;Mayenne Communauté;53008
406;BDCSURCO0000000009595521;Arquenay;53009;2537;642;53; ; ;Communauté de communes du Pays de Meslay-Grez;53009
407;BDCSURCO0000000009594564;Assé-le-Bérenger;53010;1193;428;53; ; ;Communauté de communes des Coëvrons;53010
408;BDCSURCO0000000009595870;Astillé;53011;2092;849;53; ; ;Communauté de communes du Pays de Craon;53011
409;BDCSURCO0000000009596208;Athée;53012;1736;504;53; ; ;Communauté de communes du Pays de Craon;53012
410;BDCSURCO0000000009593405;Averton;53013;4053;604;53; ; ;Communauté de communes du Mont des  Avaloirs;53013
411;BDCSURCO0000000009596529;Azé;53014;2947;3334;53; ; ;Communauté de communes du Pays de Château-Gontier;53014
412;BDCSURCO0000000009594580;La Baconnière;53015;2773;1845;53; ; ;Communauté de communes de l'Ernée;53015
413;BDCSURCO0000000009594207;Bais;53016;2625;1257;53; ; ;Communauté de communes des Coëvrons;53016
414;BDCSURCO0000000009595859;Val-du-Maine;53017;2394;924;53;Val-du-Maine;CN;Communauté de communes du Pays de Meslay-Grez;53017
415;BDCSURCO0000000009596212;Ballots;53018;3609;1269;53; ; ;Communauté de communes du Pays de Craon;53018
416;BDCSURCO0000000009595516;Bannes;53019;836;127;53; ; ;Communauté de communes du Pays de Meslay-Grez;53019
417;BDCSURCO0000000009593834;La Bazoge-Montpinçon;53021;849;991;53; ; ;Mayenne Communauté;53021
418;BDCSURCO0000000009595518;La Bazouge-de-Chemeré;53022;2513;515;53; ; ;Communauté de communes du Pays de Meslay-Grez;53022
419;BDCSURCO0000000009594569;La Bazouge-des-Alleux;53023;1815;527;53; ; ;Communauté de communes des Coëvrons;53023
420;BDCSURCO0000000009595214;Bazougers;53025;3196;1146;53; ; ;Communauté de communes du Pays de Meslay-Grez;53025
421;BDCSURCO0000000009595530;Beaulieu-sur-Oudon;53026;2024;473;53; ; ;Communauté de communes du Pays de Loiron;53026
422;BDCSURCO0000000009595858;Beaumont-Pied-de-Boeuf;53027;1362;191;53; ; ;Communauté de communes du Pays de Meslay-Grez;53027
423;BDCSURCO0000000009594210;Belgeard;53028;1310;592;53; ; ;Mayenne Communauté;53028
424;BDCSURCO0000000009596524;Bierné;53029;2433;680;53; ; ;Communauté de communes du Pays de Château-Gontier;53029
425;BDCSURCO0000000009595864;Le Bignon-du-Maine;53030;1454;338;53; ; ;Communauté de communes du Pays de Meslay-Grez;53030
426;BDCSURCO0000000009594216;La Bigottière;53031;1858;502;53; ; ;Communauté de communes de l'Ernée;53031
427;BDCSURCO0000000009596537;La Boissière;53033;629;123;53; ; ;Communauté de communes du Pays de Craon;53033
428;BDCSURCO0000000009595216;Bonchamp-lès-Laval;53034;2752;5865;53; ; ;Laval Agglomération;53034
429;BDCSURCO0000000009596536;Bouchamps-lès-Craon;53035;1819;558;53; ; ;Communauté de communes du Pays de Craon;53035
